"Treatment","Clusters","Block","Repetition","Yield","Number_of_Fruits"
"EXAm","Cluster5",2,"2","0","0"
"EXAm","Cluster6",2,"2","252.4","3"
"EXAm","Cluster1",2,"3","1192","5"
"EXAm","Cluster2",2,"3","1017.9","8"
"EXAm","Cluster3",2,"3","1160.0999999999999","8"
"EXAm","Cluster4",2,"3","796","6"
"EXAm","Cluster5",2,"3","1158.7999999999997","10"
"EXAm","Cluster6",2,"3","614.30000000000007","5"
"EXAm","Cluster1",3,"1","924.1","7"
"EXAm","Cluster2",3,"1","872.6","8"
"EXAm","Cluster3",3,"1","1362.2","8"
"EXAm","Cluster4",3,"1","816","6"
"EXAm","Cluster5",3,"1","0","0"
"EXAm","Cluster6",3,"1","605","5"
"EXAm","Cluster1",3,"2","1138.2","7"
"EXAm","Cluster2",3,"2","846.5","7"
"EXAm","Cluster3",3,"2","1328.6","10"
"EXAm","Cluster4",3,"2","892","6"
"EXAm","Cluster5",3,"2","412","2"
"EXAm","Cluster6",3,"2","786.60000000000014","8"
"EXAm","Cluster1",3,"3","1039.3","7"
"EXAm","Cluster2",3,"3","1140.1000000000001","6"
"EXAm","Cluster3",3,"3","1165.9000000000001","8"
"EXAm","Cluster4",3,"3","970","6"
"EXAm","Cluster5",3,"3","2037.4","9"
"EXAm","Cluster6",3,"3","0","0"
"EXAm","Cluster1",4,"1","1192.2","7"
"EXAm","Cluster2",4,"1","1012","9"
"EXAm","Cluster3",4,"1","1079.8","6"
"EXAm","Cluster4",4,"1","1029","7"
"EXAm","Cluster5",4,"1","821.4","6"
"EXAm","Cluster6",4,"1","0","0"
"EXAm","Cluster1",4,"2","1046.8999999999999","7"
"EXAm","Cluster2",4,"2","1041.8","8"
"EXAm","Cluster3",4,"2","1181.2","7"
"EXAm","Cluster4",4,"2","891","6"
"EXAm","Cluster5",4,"2","1075.8000000000002","10"
"EXAm","Cluster6",4,"2","994.5","8"
"EXAm","Cluster1",4,"3","1078.1000000000001","8"
"EXAm","Cluster2",4,"3","1010.7","9"
"EXAm","Cluster3",4,"3","1078.4135200000001","9"
"EXAm","Cluster4",4,"3","1204","6"
"EXAm","Cluster5",4,"3","750.89999999999986","5"
"EXAm","Cluster6",4,"3","497.8","4"
"EXAm","Cluster1",5,"1","1181.8","8"
"EXAm","Cluster2",5,"1","1187.0999999999999","8"
"EXAm","Cluster3",5,"1","961.09999999999991","6"
"EXAm","Cluster4",5,"1","824","6"
"EXAm","Cluster5",5,"1","1031","5"
"EXAm","Cluster6",5,"1","264.3","2"
"EXAm","Cluster1",5,"2","1372.3","8"
"EXAm","Cluster2",5,"2","1544","13"
"EXAm","Cluster3",5,"2","1115.6000000000001","7"
"EXAm","Cluster4",5,"2","986","6"
"EXAm","Cluster5",5,"2","1178.9000000000001","7"
"EXAm","Cluster6",5,"2","278.3","2"
"EXAm","Cluster1",5,"3","894.1","7"
"EXAm","Cluster2",5,"3","1050.3","9"
"EXAm","Cluster3",5,"3","1359.0000000000002","9"
"EXAm","Cluster4",5,"3","883","6"
"EXAm","Cluster5",5,"3","1110","9"
"EXAm","Cluster6",5,"3","347.9","3"
"Infes","Cluster1",1,"1","916.8","7"
"Infes","Cluster2",1,"1","931.2","7"
"Infes","Cluster3",1,"1","782.1","7"
"Infes","Cluster4",1,"1","807.3","7"
"Infes","Cluster5",1,"1","441.70000000000005","2"
"Infes","Cluster6",1,"1","0","0"
"Infes","Cluster1",1,"2","717.09999999999991","6"
"Infes","Cluster2",1,"2","1684.6","13"
"Infes","Cluster3",1,"2","914.30000000000007","8"
"Infes","Cluster4",1,"2","789","6"
"Infes","Cluster5",1,"2","243.6","2"
"Infes","Cluster6",1,"2","0","0"
"Infes","Cluster1",1,"3","595.5","4"
"Infes","Cluster2",1,"3","1033","9"
"Infes","Cluster3",1,"3","1596.8000000000002","11"
"Infes","Cluster4",1,"3","939.4","6"
"Infes","Cluster5",1,"3","0","0"
"Infes","Cluster6",1,"3","0","0"
"Infes","Cluster1",2,"1","741.19999999999993","6"
"Infes","Cluster2",2,"1","1273.2","10"
"Infes","Cluster3",2,"1","1637.8","12"
"Infes","Cluster4",2,"1","836","0"
"Infes","Cluster5",2,"1","0","0"
"Infes","Cluster6",2,"1","0","0"
"Infes","Cluster1",2,"2","761.80000000000007","7"
"Infes","Cluster2",2,"2","1037.5999999999999","8"
"Infes","Cluster3",2,"2","985.9","11"
"Infes","Cluster4",2,"2","0","8"
"Infes","Cluster5",2,"2","233.2","2"
"Infes","Cluster6",2,"2","0","0"
"Infes","Cluster1",2,"3","784.9","6"
"Infes","Cluster2",2,"3","430.6","5"
"Infes","Cluster3",2,"3","1272.2","7"
"Infes","Cluster4",2,"3","1101.5","8"
"Infes","Cluster5",2,"3","359.29999999999995","3"
"Infes","Cluster6",2,"3","0","0"
"Infes","Cluster1",3,"1","672.2","6"
"Infes","Cluster2",3,"1","812.8","7"
"Infes","Cluster3",3,"1","756.6","4"
"Infes","Cluster4",3,"1","614","6"
"Infes","Cluster5",3,"1","169.39999999999998","2"
"Infes","Cluster6",3,"1","0","0"
"Infes","Cluster1",3,"2","940.90000000000009","9"
"Infes","Cluster2",3,"2","1157.9999999999998","10"
"Infes","Cluster3",3,"2","783.9","5"
"Infes","Cluster4",3,"2","872","6"
"Infes","Cluster5",3,"2","276.60000000000002","2"
"Infes","Cluster6",3,"2","0","0"
